"2016-12-11 20:11:41.734849836 -0500 EST", "50047", "Dexmethylphenidate HCL 5mg (93 5276) x 5", "brucelean", "USD 57.50", "Drugs", "United States"
"2016-12-11 16:06:32.492404914 -0500 EST", "16566", "Symbiosis - 7g Ketamine (Isomer +), UK First Class", "Saint_Symbiosis", "USD 245.00", "Drugs", "United Kingdom"
"2016-12-11 18:21:06.052022414 -0500 EST", "40229", "2000 pcs 1200 ug - 25 i,b,or c - NBOME blotters! -FREE DELIVERY- -FULL ESCROW--100% RESHIP-", "Baron-JOY", "USD 600.00", "Drugs", "Worldwide"
"2016-12-11 19:42:09.96865156 -0500 EST", "40334", "Furanyl-Fentanyl 100g", "ROCKETCHEM", "USD 899.00", "Drugs", "China"
"2016-12-11 19:39:37.709948527 -0500 EST", "54985", "9 gr super heroin from pakistaan AAA+++", "goldendrugs", "USD 380.25", "Drugs", "Netherlands"
"2016-12-11 20:25:14.018085893 -0500 EST", "28451", "Cannazine - Cherry Limeade 4oz", "empireteam", "USD 60.00", "Drugs", "United States"
"2016-12-11 16:18:49.53327843 -0500 EST", "39501", "counterfeits bills BEST QUALITY (20x20€) new", "levistrauss", "USD 190.12", "Counterfeits", "Europe (EU)"
"2016-12-11 17:17:26.354314988 -0500 EST", "28968", "50 X Ecstasy Shell 180mg MDMA XTC", "JohnsonAndJohnson", "USD 179.95", "Drugs", "Germany"
"2016-12-11 19:47:59.713037599 -0500 EST", "3094", "HQ ITALY ITALIAN CC", "ProfessorDark", "USD 5.00", "Fraud Related"
"2016-12-11 18:34:06.134884503 -0500 EST", "55326", "DMT 3.50gr 200 euro FREE SHIPPING", "Ghost187", "USD 211.25", "Drugs", "Netherlands"
"2016-12-11 19:50:43.734993474 -0500 EST", "29164", "1kg. Furanyl-Fentanyl (fentanyl analogue)", "ALaurizen", "USD 9,970.00", "Drugs", "China"
"2016-12-11 15:32:07.181637431 -0500 EST", "15224", "✔ ⟁ The Great BIG Narcotics Cookbook ⟁ (͠≖ ͜ʖ͠≖)", "ElCartel", "USD 0.99", "Digital Goods"
"2016-12-11 17:55:31.554505001 -0500 EST", "32266", "Spotify Premium Account [LIFETIME + FREEBIES]", "yeticoolers", "USD 1.75", "Digital Goods"
"2016-12-11 17:00:01.503030497 -0500 EST", "15927", "How to Live Safely in a Dangerous World 1996", "pckabml", "USD 2.99", "Guides & Tutorials"
"2016-12-11 18:27:07.376914604 -0500 EST", "53288", "250G Northern Lights 95% Indica Free Tracking !", "CannaCrew", "USD 1,690.00", "Drugs", "Netherlands"
"2016-12-11 17:25:26.407475413 -0500 EST", "28370", "★★★ HOW TO SUCCESSFULLY PASS A DRUG TEST ★★★", "ProfessorDark", "USD 0.99", "Services"
"2016-12-11 20:45:27.307043174 -0500 EST", "39967", "Marocan Hash 4 gram", "mydeals", "USD 45.00", "Drugs", "France"
"2016-12-11 18:17:05.433572732 -0500 EST", "50742", "50 Gram G-Bomb Gras Weed", "HereWeAre", "USD 448.90", "Drugs", "Germany"
"2016-12-11 18:34:09.710804523 -0500 EST", "51792", "50 Grams of 3-MEO-PCP (White, High quality)", "MrGaia1", "USD 745.00", "Drugs", "United States"
"2016-12-11 19:22:43.798111137 -0500 EST", "10466", "Hackproofing Oracle Application Server", "color", "USD 1.00", "Services"
"2016-12-11 19:54:35.884378482 -0500 EST", "37600", "Evogene HGH (10 vials x 10IU) - Alley", "SteroidWarehouse", "USD 237.66", "Drugs", "Netherlands"
"2016-12-11 20:58:10.765306186 -0500 EST", "54324", "High Tea (Chai) by Evergreen Herbal 10mg THC", "WashingtonLegal", "USD 10.00", "Drugs", "Worldwide"
"2016-12-11 15:40:19.825801779 -0500 EST", "40056", "2 Netflix Accounts [LIFETIME + FREEBIES]", "yeticoolers", "USD 1.75", "Services"
"2016-12-11 17:05:35.172025515 -0500 EST", "44690", "50 GRAM *** DUTCH MDMA Crystals *** Tested 84% *** from The Netherlands *** BULK discounts ***", "PartySquadNL", "USD 287.50", "Drugs", "Netherlands"
"2016-12-11 17:03:02.158899876 -0500 EST", "48633", "FRUITTY PEBBLES -- PURPLE AMAZING TOPSHELF RAPPERS WEED -- 7g -- FREE SHIPPING WITH TRACKING", "dacandyman", "USD 80.00", "Drugs", "United States"
"2016-12-11 18:47:35.406030326 -0500 EST", "42753", "Exploring Wicca", "captainkirk", "USD 0.99", "Digital Goods"
"2016-12-11 18:47:49.011133636 -0500 EST", "42247", "1,001 Facts that Will Scare the Shit Out of You: The Ultimate Bathroom Reader", "captainkirk", "USD 0.99", "Digital Goods"
"2016-12-11 19:53:11.968093895 -0500 EST", "39595", "10 gram Pollen/Polm PREMIUM Double ZeroZero AAAA+++ FREE Worldwide Stealth Shipping", "TheHappyCrew", "USD 116.19", "Drugs", "Belgium"
"2016-12-11 20:03:31.241428751 -0500 EST", "7915", "5 x180/ 200mg HEARTS XTC PILLS", "hollandshope", "USD 21.12", "Drugs", "Germany"
"2016-12-11 19:10:56.710706471 -0500 EST", "40873", "Deschloroetizolam 10g", "ROCKETCHEM", "USD 450.00", "Drugs", "China"
"2016-12-11 18:29:29.820157793 -0500 EST", "14194", "Free Unlimited Amazon Gift Cards", "Stance", "USD 15.00", "Digital Goods"
"2016-12-11 17:01:09.488097741 -0500 EST", "14113", "HOW TO CARD AMAZON!!! LEARN HOW TO USE CVV ON AMAZON TO GET YOU ANYTHING YOU WANT!!!", "GodsLeftNut", "USD 1.00", "Fraud Related"
"2016-12-11 18:20:11.173477437 -0500 EST", "20733", "AMNESIA Haze 50 gr Free Tracking !", "CannaCrew", "USD 491.15", "Drugs", "Netherlands"
"2016-12-11 17:53:55.917560003 -0500 EST", "45056", "5x OxyContin 20mg – From Mundipharma – ★ 40 EUR ★ [SPECIAL OFFER]", "WowDeal", "USD 42.25", "Drugs", "Germany"
"2016-12-11 16:22:41.022617861 -0500 EST", "15035", "100gr Pure 85% Cocaine Flakes", "DutchMasters", "USD 4,753.10", "Drugs", "Netherlands"
"2016-12-11 18:45:16.560477567 -0500 EST", "53600", "1g Durban Poison Rosin - Escrow", "GreenSupremacy", "USD 30.00", "Drugs", "United States"
"2016-12-11 20:01:53.123946389 -0500 EST", "8692", "Moroccan Atlas Honey Hash 10 Grams", "QuickLick", "USD 94.31", "Drugs", "United Kingdom"
"2016-12-11 15:43:24.332077176 -0500 EST", "44878", "License Templates - USA (47 States) + Free CS6 !!", "BarryBusiness", "USD 10.51", "Services"
"2016-12-11 18:00:42.501689122 -0500 EST", "45321", "Armodafinil Waklert 150mg 30tabs FREE UK NDD", "NextGeneration", "USD 56.00", "Drugs", "United Kingdom"
"2016-12-11 18:38:43.696885079 -0500 EST", "37563", "Buying BTC with CC Very fresh method ++HOT++", "MoneyMakerKid", "USD 4.99", "Guides & Tutorials"
"2016-12-11 15:52:24.39411486 -0500 EST", "38737", "Light Dep Greenhouse - Blue Knight smaller nugs (1 ounce)", "bestcoastbud", "USD 175.00", "Drugs", "United States"
"2016-12-11 19:31:22.122910597 -0500 EST", "53406", "★ ★ 100 Gr of Amnesia rest WEED ★ ★", "SimplyWild", "USD 300.00", "Drugs", "Worldwide"
"2016-12-11 18:53:32.129819624 -0500 EST", "55899", "3 g High grade cannabidiol (CBD) oil isolated from Charlotte&#039;s Web", "Midas", "USD 140.00", "Drugs", "United States"
"2016-12-11 17:40:07.216467555 -0500 EST", "48439", "10 x 24mg Hydromorphon Morphium Pill (From Germany to Worldwide)", "GermanDrugsShippers", "USD 94.01", "Drugs", "Worldwide"
"2016-12-11 17:22:51.338531458 -0500 EST", "46780", "3 g - MET - N-Methyl-N-Ethyltryptamine", "ion8", "USD 100.00", "Drugs", "Canada"
"2016-12-11 18:41:20.933032336 -0500 EST", "48144", "Java All-in-One For Dummies 4th Edition", "homodei", "USD 1.06", "Guides & Tutorials"
"2016-12-11 15:38:06.516315422 -0500 EST", "19979", "10 Gr ☞DUTCH MDMA 84% (Champagne)☜", "CocaCola-Kid", "USD 89.78", "Drugs", "Worldwide"
"2016-12-11 15:39:22.28026484 -0500 EST", "46996", "14g Great White Shark Nug Run Shatter", "Overmind", "USD 380.00", "Drugs", "United States"
"2016-12-11 16:25:05.639469864 -0500 EST", "46645", "The Essential Virtual Carder Handbook (EVCH)", "Ginseng", "USD 55.00", "Guides & Tutorials"
"2016-12-11 18:09:31.958077182 -0500 EST", "47312", "Netflix+Xfinity+Hulu+Spotify+HBO NOW [ACCOUNTS LIFETIME+FREEBIES]", "AccountGuru", "USD 4.99", "Digital Goods"
"2016-12-11 18:26:52.10303854 -0500 EST", "29390", "Sealed small bottle 100 mg Methadone concentrated", "overnight", "USD 31.69", "Drugs", "Italy"
"2016-12-11 19:15:31.101590946 -0500 EST", "12548", "HIGH LEVEL USA FULLS (CC+CVV+SSN+DOB)", "smart666tiger", "USD 70.00", "Fraud Related"
"2016-12-11 19:54:41.661286826 -0500 EST", "2792", "Clomid - 24 tb/50 mg - Anfarm Hellas", "SteroidWarehouse", "USD 31.69", "Drugs", "Netherlands"
"2016-12-11 16:27:16.005038519 -0500 EST", "3289", "Rolex - Daytona RG White Dial Ceramic Bezel [AAA+]", "RepAAA", "USD 349.00", "Counterfeits", "Hong Kong"
"2016-12-11 16:11:08.632785492 -0500 EST", "42119", "Adidas Yeezy 350 boost sky blue Size UK 9, EU43 AA+ quality **Free UK Shipping**", "cerberus", "USD 75.45", "Counterfeits", "Worldwide"
"2016-12-11 19:04:19.154001642 -0500 EST", "56027", "★★SUPER FRESH - HIGH QUALITY - PREMIUM USA CARDS★★", "MostValidcc", "USD 10.00", "Fraud Related"
"2016-12-11 19:09:25.617665561 -0500 EST", "40863", "-2 pils sublingual BUPRENORPHINE 0,2 NO GENERIC-", "Orange0ne", "USD 8.45", "Drugs", "Spain"
"2016-12-11 16:17:56.693998255 -0500 EST", "13394", "Rolex - Sea-Dweller Deepsea D-Blue 3135 [Ultimate AAA+]", "RepAAA", "USD 489.00", "Counterfeits", "Hong Kong"
"2016-12-11 18:21:34.856241728 -0500 EST", "40811", "LSD - 100 Blotters - 120ug per tab", "domesticdoode", "USD 220.00", "Drugs", "United States"
"2016-12-11 20:40:12.1789484 -0500 EST", "46532", "14 grams Indoor Cookies or Sunset Sherbert", "Calipacksheat", "USD 130.00", "Drugs", "United States"
"2016-12-11 17:25:09.298708423 -0500 EST", "37911", "10 GRAM - UNCUT 90% PURE COLOMBIAN COCAINE - from The Netherlands", "PartySquadNL", "USD 620.00", "Drugs", "Netherlands"
"2016-12-11 20:03:28.456906693 -0500 EST", "37160", "White Widow 3gr", "hollandshope", "USD 31.69", "Drugs", "Germany"
"2016-12-11 21:04:14.529500852 -0500 EST", "38705", "25 GR Maroc Tbisla +++Quality", "Cheech-Chong", "USD 268.66", "Drugs", "Worldwide"
"2016-12-11 20:41:10.297880041 -0500 EST", "13792", "250 Pills Valium (Roche) 10 MG", "Meds2Buy", "USD 255.00", "Drugs", "United States"
"2016-12-11 20:22:58.204806757 -0500 EST", "34019", "XTC - 100x - PURPLE - CHUPA CHUPS", "DUTCHBULK", "USD 232.37", "Drugs", "Germany"
"2016-12-11 17:10:07.893633807 -0500 EST", "23638", "Kali Linux 2.0 Released, The Next Generation Penetration Testing Platform", "color", "USD 1.00", "Drugs"
"2016-12-11 18:17:35.436839234 -0500 EST", "45918", "Orange Bud 25g [10,00€/g] (Free Shipping)", "Zitronentee", "USD 264.06", "Drugs", "Germany"
"2016-12-11 18:49:14.820229717 -0500 EST", "55055", "40 gr super heroin from pakistaan AAA+++", "goldendrugs", "USD 1,478.74", "Drugs", "Netherlands"
"2016-12-11 19:44:01.053741478 -0500 EST", "13789", "160 Pills Valium (Roche) 10 MG", "Meds2Buy", "USD 170.00", "Drugs", "United States"
"2016-12-11 18:44:36.138998141 -0500 EST", "47500", "10x silicone jar 3ml", "KBueno", "USD 21.13", "Drugs", "Germany"
"2016-12-11 18:58:47.521924742 -0500 EST", "51531", "Honey Vape Dab Jar - Strawberry Kush", "empireteam", "USD 40.00", "Drugs", "United States"
"2016-12-11 18:04:46.323991381 -0500 EST", "7075", "Pick-5-Book List: JOOMLA Content Management System (CMS)", "pckabml", "USD 13.00", "Guides & Tutorials"
"2016-12-11 17:34:38.372117846 -0500 EST", "51913", "30g dry Golden Teacher Mushrooms - Pilze - Psylocibine", "SolidSupply", "USD 205.97", "Drugs", "Germany"
"2016-12-11 18:11:12.987128444 -0500 EST", "51159", "NBA League Pass - Instant Delivery", "mikemcdermit", "USD 0.99", "Digital Goods"
"2016-12-11 16:47:56.431657698 -0500 EST", "45424", "100-  Pfizer 3.5 mg - Xanax - 2 - markings - Fresh off the press!", "KingOpi", "USD 125.00", "Drugs", "United States"
"2016-12-11 16:27:28.905800967 -0500 EST", "47464", "Rolex - Day-Date 40 Stainless Steel 228239 Roman Blue Dial [AAA+]", "RepAAA", "USD 369.00", "Counterfeits", "Hong Kong"
"2016-12-11 16:13:22.809716669 -0500 EST", "30519", "10gr AK-47 Weed A+++ Top Shelf Quality", "ganjabro", "USD 126.75", "Drugs", "Germany"
"2016-12-11 17:46:42.678894747 -0500 EST", "28686", "5+1FREE PROFESSIONAL CANNABIS SEEDS Amnesia Haze Auto Feminized  6 SEEDS 25,- Euro", "TheHappyCrew", "USD 26.41", "Drugs", "Netherlands"
"2016-12-11 16:43:33.719187618 -0500 EST", "52715", "HIgh Quality Money Paper 100% Real Feels like money", "highsky", "USD 100.00", "Counterfeits", "Worldwide"
"2016-12-11 19:14:32.641992797 -0500 EST", "3500", "Xanax (Alprazolam) 2 MG 80 Pills", "DeepMeds", "USD 145.00", "Drugs", "Worldwide"
"2016-12-11 15:36:56.831407291 -0500 EST", "6069", "LSD, double-purified (99.9%) 100x111µg", "empathogene", "USD 322.26", "Drugs", "Canada"
"2016-12-11 18:12:42.242348546 -0500 EST", "19817", "Small 10cm Glass Oil Pipe - Triple Pack", "planetpluto", "USD 11.32", "Drugs", "United Kingdom"
"2016-12-11 19:31:57.896410526 -0500 EST", "12709", "Paypal Verification", "Happy_Eyes", "USD 2.00", "Fraud Related"
